x,y,z
-48.251, 14.611, 530.761
-0.570, 6.706, 473.255
10.886, 42.863, 494.679
-25.788, -44.686, 511.072
26.381, -6.012, 506.042
4.874, -43.294, 505.481
6.904, 63.340, 511.898
-34.128, 32.207, 509.346
-17.479, 50.550, 503.910
-8.362, 61.689, 505.003
-36.595, -23.738, 510.729
-13.451, -16.452, 503.722
-1.083, 29.349, 488.283
-6.090, -11.291, 484.141
22.779, -24.574, 507.863
15.875, 51.789, 503.169
-37.128, 4.105, 512.695
43.828, -7.564, 517.227
-8.094, 19.988, 486.642
6.615, 21.517, 487.329
-11.811, -60.473, 502.847
-43.384, 15.720, 520.402
11.661, -57.279, 507.737
-17.398, 12.197, 490.324
49.497, 3.425, 522.272